Event	ID	Name			Wwise Object Path	Notes
	175821544	Play_title_ui_settingsmenu_unpause_01			\Default Work Unit\Play_title_ui_settingsmenu_unpause_01	
	653376297	Play_common_int_rock_roll_01			\Default Work Unit\Play_common_int_rock_roll_01	
	1386470624	Play_common_plr_flyingfish_glide			\Default Work Unit\Play_common_plr_flyingfish_glide	
	1581394617	Play_title_ui_menu_back_01			\Default Work Unit\Play_title_ui_menu_back_01	
	1724980281	Play_common_plr_player_death_01			\Default Work Unit\Play_common_plr_player_death_01	
	1749636642	Play_title_ui_menu_select_01			\Default Work Unit\Play_title_ui_menu_select_01	
	1866911637	Play_common_plr_player_jump			\Default Work Unit\Play_common_plr_player_jump	
	2242250017	Play_common_int_door_open_01			\Default Work Unit\Play_common_int_door_open_01	
	2605310083	Play_common_plr_player_dive			\Default Work Unit\Play_common_plr_player_dive	
	2750027184	Play_common_env_water_fall_flow_01			\Default Work Unit\Play_common_env_water_fall_flow_01	
	2859081383	Play_common_int_door_close_01			\Default Work Unit\Play_common_int_door_close_01	
	3080119269	Play_title_ui_settingsmenu_pause_01			\Default Work Unit\Play_title_ui_settingsmenu_pause_01	
	3811694949	Play_common_plr_player_swim_01			\Default Work Unit\Play_common_plr_player_swim_01	
	3848493319	Play_title_ui_menu_nav_01			\Default Work Unit\Play_title_ui_menu_nav_01	
	4282753298	Play_common_int_rock_impact			\Default Work Unit\Play_common_int_rock_impact	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	576064279	common_plr_flyingfish_glide_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_flyingfish_glide_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_flyingfish_glide\common_plr_flyingfish_glide_01		384096
	673442626	common_env_water fall_flow_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_env_water fall_flow_01_20C97FAC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Environmental\common_env_water fall_flow_01		1536096
	685455157	title_ui_settingsmenu_unpause_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\title_ui_settingsmenu_unpause_01_6B03949B.wem		\Actor-Mixer Hierarchy\Default Work Unit\TitleScreen\UI\title_ui_settingsmenu_unpause_01		313304
	861403366	common_plr_flyingfish_glide_02	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_flyingfish_glide_02_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_flyingfish_glide\common_plr_flyingfish_glide_02		384096
	875813910	common_int_door_open_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_int_door_open_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Interactable\common_int_door_open_01		384096
	895293770	title_ui_menu_select_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\title_ui_menu_select_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\TitleScreen\UI\title_ui_menu_select_01		96096
	927395147	common_plr_player_dive_03	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_dive_03_92C4C1F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_dive\common_plr_player_dive_03		192632
	969708968	common_int_rock_roll_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_int_rock_roll_01_8F8E3114.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Interactable\common_int_rock_roll_01		865572
	981545624	common_int_rock_impact_02	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_int_rock_impact_02_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Interactable\common_int_rock_impact\common_int_rock_impact_02		192096
	1054955726	common_plr_player_jump_02	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_jump_02_E66CCD85.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_jump\common_plr_player_jump_02		220788
	1058969932	title_ui_menu_back_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\title_ui_menu_back_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\TitleScreen\UI\title_ui_menu_back_01		96096
	1065205166	common_int_rock_impact_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_int_rock_impact_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Interactable\common_int_rock_impact\common_int_rock_impact_01		192096
	1068827354	common_plr_player_death_01	Y:\Git Repos\sashimi\sashimi_WwiseProject\.cache\Windows\SFX\common_plr_player_death_01_8F8B27E2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Common\Player\common_plr_player_death_01		384096

